App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Descargas,Descargas2,Categoria,tamaño,tamaño2,Gratuito,tipo_contenido,Genero1,dias_sin_actualizar,meses_sin_actualizar,grupomeses,version_actual,grupoversiones,version_android,Genero2,media_inst_grp_ver,mediana_inst_grp_ver,med_versandroid
Encumbrance Certificate - (Obsolete),BUSINESS,3.9,184.0,48k,50000,Free,0.0,Everyone,Business,2014-08-12,"1,1",2.3 and up,10.0,2.0,2.0,48.0,6.0,1.0,1.0,2,3537,118.0,0.0,1,0.0,12,1.6111111111111112,2,2,3.0
Toy Guitar with songs for kids,FAMILY,4.3,1369.0,9.8M,500000,Free,0.0,Everyone,Music & Audio;Music & Video,2016-03-05,1.0.3,2.3 and up,12.0,3.0,12.0,9800.0,2.0,1.0,1.0,41,2966,99.0,1.0,1,0.0,12,3.5161290322580645,2,2,3.0
ETERNITY WARRIORS 2,GAME,4.6,568391.0,5.2M,5000000,Free,0.0,Teen,Action,2014-07-01,4.3.1,2.1 and up,14.0,4.0,30.0,5200.0,1.0,1.0,3.0,44,3579,119.0,2.0,4,2.0,4,3.6554621848739495,4,4,2.0
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238.0,17M,1000000,Free,0.0,Everyone,Communication,2018-08-02,"4,98",2.3 and up,13.0,4.0,21.0,17000.0,3.0,1.0,1.0,24,2086,70.0,5.0,4,2.0,12,2.889502762430939,4,4,3.0
Control Center iOS 11 - Phone X notifications,TOOLS,4.3,514.0,8.4M,50000,Free,0.0,Everyone,Tools,2018-02-12,"1,8",4.4 and up,10.0,2.0,13.0,8400.0,2.0,1.0,1.0,15,2257,75.0,2.0,1,0.0,11,2.66,2,2,3.0
stranger chat - anonymous chat,DATING,3.5,13204.0,6.1M,1000000,Free,0.0,Mature 17+,Dating,2018-07-07,2.4.1,4.1 and up,13.0,4.0,4.0,6100.0,1.0,1.0,2.0,5,2112,70.0,5.0,2,1.0,9,2.142857142857143,3,3,3.0
Fire Emblem Heroes,FAMILY,4.6,407694.0,Varies with device,5000000,Free,0.0,Teen,Simulation,2018-07-19,2.7.1,4.2 and up,14.0,4.0,12.0,0.0,6.0,1.0,3.0,34,2100,70.0,5.0,2,1.0,8,3.350515463917526,3,3,3.0
"AC Air condition Troubleshoot,Repair,Maintenance",BOOKS_AND_REFERENCE,4.2,27.0,3.1M,5000,Free,0.0,Everyone,Books & Reference,2018-02-07,"1,1",4.0 and up,8.0,1.0,6.0,3100.0,6.0,1.0,1.0,6,2262,75.0,2.0,1,0.0,6,2.25,2,2,3.0
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55.0,2.7M,5000,Free,0.0,Everyone,Art & Design,2018-06-06,"2,5",4.2 and up,8.0,1.0,14.0,2700.0,6.0,1.0,1.0,16,2143,71.0,4.0,2,1.0,8,2.660377358490566,3,3,3.0
ClanHQ,COMMUNICATION,2.7,560.0,37M,10000,Free,0.0,Everyone,Communication,2018-07-25,1.0.21,4.4 and up,9.0,2.0,21.0,37000.0,4.0,1.0,1.0,24,2094,70.0,5.0,1,0.0,11,2.889502762430939,2,2,3.0
Squeezy CF,MEDICAL,0.0,0.0,1.4M,10,Paid,2.99,Everyone,Medical,2017-04-26,1.2.11,4.0 and up,3.0,0.0,0.0,1400.0,6.0,0.0,1.0,0,2549,85.0,0.0,1,0.0,6,1.3285198555956679,2,2,3.0
Eurosport,SPORTS,4.0,121003.0,Varies with device,10000000,Free,0.0,Everyone,Sports,2018-08-06,Varies with device,Varies with device,15.0,5.0,20.0,0.0,6.0,1.0,1.0,23,2082,69.0,5.0,100,2.0,13,2.823529411764706,4,4,4.0
"CBS Sports App - Scores, News, Stats & Watch Live",SPORTS,4.3,91035.0,Varies with device,5000000,Free,0.0,Everyone,Sports,2018-08-04,Varies with device,5.0 and up,14.0,4.0,20.0,0.0,6.0,1.0,1.0,23,2084,69.0,5.0,100,2.0,10,2.823529411764706,4,4,3.0
Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59.0,8.1M,1000,Paid,1.7,Everyone,Personalization,2015-08-16,"1,05",2.2 and up,7.0,1.0,7.0,8100.0,2.0,0.0,1.0,9,3168,106.0,3.0,1,0.0,1,2.373076923076923,2,2,2.0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706.0,19M,1000000,Free,0.0,Teen,Entertainment,2018-07-16,3.1.4,4.4 and up,13.0,4.0,32.0,19000.0,3.0,1.0,3.0,17,2103,70.0,5.0,3,1.0,11,2.6990131578947367,3,3,3.0
UK Girls Mobile Numbers,DATING,3.0,1.0,5.5M,500,Free,0.0,Mature 17+,Dating,2018-07-19,1,4.0.3 and up,6.0,0.0,4.0,5500.0,1.0,1.0,2.0,5,2100,70.0,5.0,1,0.0,7,2.142857142857143,2,2,2.0
Google Now Launcher,TOOLS,4.2,857215.0,7.9M,100000000,Free,0.0,Everyone,Tools,2017-12-07,1.4.large,4.1 - 7.1.1,17.0,5.0,13.0,7900.0,2.0,1.0,1.0,15,2324,77.0,3.0,1,0.0,2,2.66,2,2,2.0
Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263.0,9.1M,10000,Free,0.0,Everyone,Books & Reference,2015-01-01,2,2.1 and up,9.0,2.0,6.0,9100.0,2.0,1.0,1.0,6,3395,113.0,1.0,2,1.0,4,2.25,3,3,2.0
AppClose - The #1 FREE Co-Parenting App,PARENTING,3.5,159.0,85M,10000,Free,0.0,Everyone,Parenting,2018-07-31,2.1.23,4.4 and up,9.0,2.0,19.0,85000.0,5.0,1.0,1.0,22,2088,70.0,5.0,2,1.0,11,2.7755102040816326,3,3,3.0
Dr. Pixel: Pill mania Classic,FAMILY,4.3,2419.0,6.2M,100000,Free,0.0,Everyone,Puzzle,2018-03-31,1.2.7,4.0 and up,11.0,3.0,12.0,6200.0,1.0,1.0,1.0,35,2210,74.0,1.0,1,0.0,6,3.361963190184049,2,2,3.0
Mobile FC,SPORTS,4.1,5015.0,57M,100000,Free,0.0,Everyone,Sports,2018-05-25,125,4.0.3 and up,11.0,3.0,20.0,57000.0,5.0,1.0,1.0,23,2155,72.0,4.0,12,2.0,7,2.823529411764706,4,4,2.0
"Moony Lab - Print Photos, Books & Magnets ™",PHOTOGRAPHY,4.7,1320.0,9.5M,50000,Free,0.0,Everyone,Photography,2018-06-27,2.1.9,4.1 and up,10.0,2.0,29.0,9500.0,2.0,1.0,1.0,43,2122,71.0,4.0,2,1.0,9,3.6265060240963853,3,3,3.0
All Mental disorders,MEDICAL,4.5,453.0,11M,100000,Free,0.0,Everyone,Medical,2017-07-07,"1,1",4.0.3 and up,11.0,3.0,0.0,11000.0,2.0,1.0,1.0,0,2477,83.0,1.0,1,0.0,7,1.3285198555956679,2,2,2.0
TwitCasting Live,SOCIAL,3.6,14835.0,Varies with device,1000000,Free,0.0,Teen,Social,2018-08-02,Varies with device,Varies with device,13.0,4.0,23.0,0.0,6.0,1.0,3.0,26,2086,70.0,5.0,100,2.0,13,2.9078947368421053,4,4,4.0
I Am Rich,FAMILY,3.6,217.0,4.9M,10000,Paid,389.99,Everyone,Entertainment,2018-06-22,"1,5",4.2 and up,9.0,2.0,12.0,4900.0,1.0,0.0,1.0,17,2127,71.0,4.0,1,0.0,8,2.6990131578947367,2,2,3.0
Business Mitra (BM),BUSINESS,4.9,13.0,5.3M,100,Free,0.0,Everyone,Business,2018-07-12,1.11.1prod,4.0.3 and up,5.0,0.0,2.0,5300.0,1.0,1.0,1.0,2,2107,70.0,5.0,1,0.0,7,1.6111111111111112,2,2,2.0
Qeek for Instagram - Zoom profile insta DP,SOCIAL,4.6,12111.0,9.1M,500000,Free,0.0,Everyone,Social,2018-05-03,"1,47",4.3 and up,12.0,3.0,23.0,9100.0,2.0,1.0,1.0,26,2177,73.0,2.0,1,0.0,3,2.9078947368421053,2,2,2.0
DP and Status,FAMILY,4.1,623.0,3.0M,100000,Free,0.0,Everyone,Entertainment,2017-08-11,1.0.1,3.0 and up,11.0,3.0,12.0,3000.0,6.0,1.0,1.0,17,2442,81.0,1.0,1,0.0,2,2.6990131578947367,2,2,2.0
My Days - Ovulation Calendar & Period Tracker ™,HEALTH_AND_FITNESS,4.5,93691.0,Varies with device,5000000,Free,0.0,Everyone,Health & Fitness,2018-07-05,Varies with device,Varies with device,14.0,4.0,17.0,0.0,6.0,1.0,1.0,20,2114,70.0,5.0,100,2.0,13,2.7560975609756095,4,4,4.0
CALCU™ Stylish Calculator Free,TOOLS,4.7,152692.0,11M,5000000,Free,0.0,Everyone,Tools,2018-07-07,3.5.6,4.1 and up,14.0,4.0,13.0,11000.0,2.0,1.0,1.0,15,2112,70.0,5.0,3,1.0,9,2.66,3,3,3.0
The Escapists,GAME,4.4,7412.0,84M,100000,Paid,4.99,Teen,Strategy,2018-04-26,1.1.0,2.3 and up,11.0,3.0,30.0,84000.0,5.0,0.0,3.0,45,2184,73.0,2.0,1,0.0,12,3.7222222222222223,2,2,3.0
Mobi Calculator free & AD free!,TOOLS,4.6,77311.0,Varies with device,5000000,Free,0.0,Everyone,Tools,2018-01-09,Varies with device,Varies with device,14.0,4.0,13.0,0.0,6.0,1.0,1.0,15,2291,76.0,3.0,100,2.0,13,2.66,4,4,4.0
Hercules CP Mobile,TOOLS,1.4,20.0,4.1M,1000,Free,0.0,Everyone,Tools,2018-07-06,2.1.5,4.3 and up,7.0,1.0,13.0,4100.0,1.0,1.0,1.0,15,2113,70.0,5.0,2,1.0,3,2.66,3,3,2.0
Dictionary - WordWeb,BOOKS_AND_REFERENCE,4.6,124970.0,Varies with device,5000000,Free,0.0,Teen,Books & Reference,2018-05-26,Varies with device,Varies with device,14.0,4.0,6.0,0.0,6.0,1.0,3.0,6,2154,72.0,4.0,100,2.0,13,2.25,4,4,4.0
Jewels Star: OZ adventure,GAME,4.5,21892.0,14M,1000000,Free,0.0,Everyone,Puzzle,2017-12-29,"1,3",4.0 and up,13.0,4.0,30.0,14000.0,3.0,1.0,1.0,35,2302,77.0,3.0,1,0.0,6,3.361963190184049,2,2,3.0
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4.0,196.0,9.0M,10000,Free,0.0,Everyone 10+,Food & Drink,2017-02-17,"1,2",2.3.3 and up,9.0,2.0,24.0,9000.0,2.0,1.0,5.0,28,2617,87.0,2.0,1,0.0,5,3.013157894736842,2,2,3.0
ClassDojo,FAMILY,4.4,148536.0,59M,10000000,Free,0.0,Everyone,Education;Education,2018-08-03,4.21.1,4.1 and up,15.0,5.0,12.0,59000.0,5.0,1.0,1.0,3,2085,70.0,5.0,4,2.0,9,2.057603686635945,4,4,3.0
DN Blog,SOCIAL,5.0,20.0,4.2M,10,Free,0.0,Teen,Social,2018-07-23,1,4.0 and up,3.0,0.0,23.0,4200.0,1.0,1.0,3.0,26,2096,70.0,5.0,1,0.0,6,2.9078947368421053,2,2,3.0
Plug-in app (System AC),TOOLS,3.6,126.0,11M,10000,Free,0.0,Everyone,Tools,2017-06-08,v1.1072.35.0,4.0 and up,9.0,2.0,13.0,11000.0,2.0,1.0,1.0,15,2506,84.0,0.0,1,0.0,6,2.66,2,2,3.0
Nuke Em All,FAMILY,3.4,2714.0,52M,500000,Free,0.0,Mature 17+,Casual,2017-11-19,1.1.8,4.1 and up,12.0,3.0,12.0,52000.0,5.0,1.0,2.0,38,2342,78.0,2.0,1,0.0,9,3.396039603960396,2,2,3.0
DF-View,BUSINESS,0.0,0.0,15M,100,Free,0.0,Everyone,Business,2016-01-04,1.0.9,4.0 and up,5.0,0.0,2.0,15000.0,3.0,1.0,1.0,2,3027,101.0,0.0,1,0.0,6,1.6111111111111112,2,2,3.0
Happy Street,FAMILY,4.5,110877.0,Varies with device,1000000,Free,0.0,Everyone 10+,Casual;Action & Adventure,2018-03-28,Varies with device,Varies with device,13.0,4.0,12.0,0.0,6.0,1.0,5.0,38,2213,74.0,1.0,100,2.0,13,3.396039603960396,4,4,4.0
BL info,TRAVEL_AND_LOCAL,4.1,98.0,2.0M,5000,Free,0.0,Everyone,Travel & Local,2018-07-17,2,4.3 and up,8.0,1.0,22.0,2000.0,6.0,1.0,1.0,25,2102,70.0,5.0,2,1.0,3,2.892857142857143,3,3,2.0
ABAI CE Scanner,FAMILY,0.0,0.0,4.3M,1000,Free,0.0,Everyone,Education,2018-01-23,"1,3",4.1 and up,7.0,1.0,12.0,4300.0,1.0,1.0,1.0,3,2277,76.0,3.0,1,0.0,9,2.057603686635945,2,2,3.0
Lux Home Decorating Room Games,FAMILY,4.0,1518.0,Varies with device,100000,Free,0.0,Everyone,Casual,2017-10-20,2,4.1 and up,11.0,3.0,12.0,0.0,6.0,1.0,1.0,38,2372,79.0,2.0,2,1.0,9,3.396039603960396,3,3,3.0
INFAMY RO,FAMILY,4.1,2167.0,3.7M,50000,Free,0.0,Everyone,Role Playing,2017-12-14,202,4.3 and up,10.0,2.0,12.0,3700.0,1.0,1.0,1.0,36,2317,77.0,3.0,20,1.0,3,3.391891891891892,3,3,2.0
TANGEDCO Mobile App (Official),BUSINESS,3.3,2915.0,3.3M,500000,Free,0.0,Everyone,Business,2017-11-03,1.0.2,4.4 and up,12.0,3.0,2.0,3300.0,6.0,1.0,1.0,2,2358,79.0,2.0,1,0.0,11,1.6111111111111112,2,2,3.0
Ba Cristi,GAME,3.5,196.0,35M,10000,Free,0.0,Everyone,Adventure,2016-03-22,1.0.4,2.3 and up,9.0,2.0,30.0,35000.0,4.0,1.0,1.0,32,2949,98.0,1.0,1,0.0,12,3.292307692307692,2,2,3.0
Xbox,FAMILY,4.3,556659.0,46M,10000000,Free,0.0,Everyone,Entertainment,2018-06-20,1805.0618.1637,4.1 and up,15.0,5.0,12.0,46000.0,5.0,1.0,1.0,17,2129,71.0,4.0,18,2.0,9,2.6990131578947367,4,4,3.0
Lazada - Online Shopping & Deals,SHOPPING,4.2,1573054.0,Varies with device,50000000,Free,0.0,Everyone,Shopping,2018-08-02,Varies with device,4.2 and up,16.0,5.0,27.0,0.0,6.0,1.0,1.0,37,2086,70.0,5.0,100,2.0,8,3.3933333333333335,4,4,3.0
Alabama DMV Permit Test - AL,FAMILY,4.3,218.0,29M,10000,Free,0.0,Everyone,Education,2018-02-15,6.0.3,4.4 and up,9.0,2.0,12.0,29000.0,4.0,1.0,1.0,3,2254,75.0,2.0,6,2.0,11,2.057603686635945,4,4,3.0
Talking Tom Cat,FAMILY,4.3,1838090.0,Varies with device,100000000,Free,0.0,Everyone 10+,Casual,2018-07-27,Varies with device,4.1 and up,17.0,5.0,12.0,0.0,6.0,1.0,5.0,38,2092,70.0,5.0,100,2.0,9,3.396039603960396,4,4,3.0
FeaturePoints: Free Gift Cards,FAMILY,3.9,121321.0,46M,5000000,Free,0.0,Everyone,Entertainment,2016-10-22,"8,7",4.0.3 and up,14.0,4.0,12.0,46000.0,5.0,1.0,1.0,17,2735,91.0,3.0,8,1.0,7,2.6990131578947367,3,3,2.0
Thyroid Nodules,MEDICAL,0.0,0.0,20M,10,Free,0.0,Everyone,Medical,2018-07-14,1,4.3 and up,3.0,0.0,0.0,20000.0,3.0,1.0,1.0,0,2105,70.0,5.0,1,0.0,3,1.3285198555956679,2,2,2.0
theScore esports,SPORTS,4.5,16257.0,14M,500000,Free,0.0,Everyone 10+,Sports,2017-02-03,"2,8",4.1 and up,12.0,3.0,20.0,14000.0,3.0,1.0,5.0,23,2631,88.0,0.0,2,1.0,9,2.823529411764706,3,3,3.0
YouTube Studio,VIDEO_PLAYERS,4.3,436170.0,Varies with device,10000000,Free,0.0,Teen,Video Players & Editors,2018-06-28,Varies with device,Varies with device,15.0,5.0,26.0,0.0,6.0,1.0,3.0,33,2121,71.0,4.0,100,2.0,13,3.3275862068965516,4,4,4.0
Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865.0,6.9M,100000,Paid,2.99,Everyone,Photography,2014-11-06,"4,7",2.2 and up,11.0,3.0,29.0,6900.0,1.0,0.0,1.0,43,3451,115.0,3.0,4,2.0,1,3.6265060240963853,4,4,2.0
LEGO® TV,ENTERTAINMENT,3.7,17247.0,7.2M,1000000,Free,0.0,Everyone 10+,Entertainment;Music & Video,2018-08-04,4.0.2,5.0 and up,13.0,4.0,32.0,7200.0,2.0,1.0,5.0,17,2084,69.0,5.0,4,2.0,10,2.6990131578947367,4,4,3.0
PriorityONE Credit Union of Fl,FINANCE,4.7,178.0,12M,1000,Free,0.0,Everyone,Finance,2018-06-12,5.9.1.0,5.0 and up,7.0,1.0,8.0,12000.0,2.0,1.0,1.0,10,2137,71.0,4.0,5,2.0,10,2.4,4,4,3.0
Club,MEDICAL,4.4,3786.0,28M,50000,Free,0.0,Everyone,Medical,2018-07-16,4.4.3,4.0.3 and up,10.0,2.0,0.0,28000.0,4.0,1.0,1.0,0,2103,70.0,5.0,4,2.0,7,1.3285198555956679,4,4,2.0
Ek Vote,PRODUCTIVITY,5.0,43.0,6.2M,500,Free,0.0,Everyone,Productivity,2017-11-07,"1,1",4.0.3 and up,6.0,0.0,15.0,6200.0,1.0,1.0,1.0,18,2354,78.0,2.0,1,0.0,7,2.7002237136465324,2,2,2.0
Cb browser,COMMUNICATION,5.0,5.0,3.7M,50,Free,0.0,Everyone,Communication,2018-04-02,1,4.0 and up,4.0,0.0,21.0,3700.0,1.0,1.0,1.0,24,2208,74.0,1.0,1,0.0,6,2.889502762430939,2,2,3.0
AE Gun Ball: arcade ball games,GAME,3.7,8581.0,12M,1000000,Free,0.0,Everyone,Arcade,2013-12-13,1.0.2,2.2 and up,13.0,4.0,30.0,12000.0,2.0,1.0,1.0,42,3779,126.0,2.0,1,0.0,1,3.55188679245283,2,2,2.0
Siyaha Dz,TRAVEL_AND_LOCAL,4.5,289.0,9.8M,10000,Free,0.0,Everyone,Travel & Local,2018-03-13,2.6.3,4.2 and up,9.0,2.0,22.0,9800.0,2.0,1.0,1.0,25,2228,74.0,1.0,2,1.0,8,2.892857142857143,3,3,3.0
Autool BT-BOX,TOOLS,3.5,4.0,17M,500,Free,0.0,Everyone,Tools,2018-05-12,1.0.1,4.3 and up,6.0,0.0,13.0,17000.0,3.0,1.0,1.0,15,2168,72.0,4.0,1,0.0,3,2.66,2,2,2.0
Let's Learn Alif Ba Ta,FAMILY,4.6,32.0,60M,10000,Free,0.0,Everyone,Education,2017-11-29,6,4.0.3 and up,9.0,2.0,12.0,60000.0,5.0,1.0,1.0,3,2332,78.0,2.0,6,2.0,7,2.057603686635945,4,4,2.0
"Orbitz - Hotels, Flights & Package Deals",TRAVEL_AND_LOCAL,4.4,33256.0,Varies with device,1000000,Free,0.0,Everyone,Travel & Local,2018-07-31,Varies with device,Varies with device,13.0,4.0,22.0,0.0,6.0,1.0,1.0,25,2088,70.0,5.0,100,2.0,13,2.892857142857143,4,4,4.0
Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,14M,5000000,Free,0.0,Everyone,Communication,2018-04-19,3.0.4,4.0 and up,14.0,4.0,21.0,14000.0,3.0,1.0,1.0,24,2191,73.0,2.0,3,1.0,6,2.889502762430939,3,3,3.0
Romantic Love Photo Frames,PERSONALIZATION,4.4,18918.0,12M,5000000,Free,0.0,Everyone,Personalization,2018-06-19,"1,14",4.0 and up,14.0,4.0,7.0,12000.0,2.0,1.0,1.0,9,2130,71.0,4.0,1,0.0,6,2.373076923076923,2,2,3.0
Tarascon Pharmacopoeia,MEDICAL,4.4,275.0,5.8M,10000,Free,0.0,Everyone 10+,Medical,2018-03-16,3.16.4.1669,4.4 and up,9.0,2.0,0.0,5800.0,1.0,1.0,5.0,0,2225,74.0,1.0,3,1.0,11,1.3285198555956679,3,3,3.0
Analog Clock AW-7 PRO,TOOLS,3.3,40.0,2.7M,1000,Paid,1.99,Everyone,Tools,2018-03-07,2,4.3 and up,7.0,1.0,13.0,2700.0,6.0,0.0,1.0,15,2234,74.0,1.0,2,1.0,3,2.66,3,3,2.0
WhatsCall Free Global Phone Call App & Cheap Calls,COMMUNICATION,4.6,1130966.0,27M,10000000,Free,0.0,Everyone,Communication,2018-06-06,1.9.1.013,4.0 and up,15.0,5.0,21.0,27000.0,4.0,1.0,1.0,24,2143,71.0,4.0,1,0.0,6,2.889502762430939,2,2,3.0
R Programing Offline Tutorial,BOOKS_AND_REFERENCE,5.0,4.0,3.9M,1000,Free,0.0,Everyone,Books & Reference,2018-03-15,1.0.0,4.1 and up,7.0,1.0,6.0,3900.0,1.0,1.0,1.0,6,2226,74.0,1.0,1,0.0,9,2.25,2,2,3.0
A-Z App Store,PRODUCTIVITY,3.2,2728.0,4.4M,500000,Free,0.0,Everyone,Productivity,2016-10-05,1.0.5,4.1 and up,12.0,3.0,15.0,4400.0,1.0,1.0,1.0,18,2752,92.0,0.0,1,0.0,9,2.7002237136465324,2,2,3.0
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584.0,91M,10000000,Free,0.0,Everyone,Simulation;Action & Adventure,2018-08-02,3.2.0h,4.0.3 and up,15.0,5.0,12.0,91000.0,5.0,1.0,1.0,34,2086,70.0,5.0,3,1.0,7,3.350515463917526,3,3,2.0
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3397.0,9.5M,50000,Paid,3.99,Everyone,Casual;Pretend Play,2014-12-09,"1,8",4.0 and up,10.0,2.0,12.0,9500.0,2.0,0.0,1.0,38,3418,114.0,1.0,1,0.0,6,3.396039603960396,2,2,3.0
Thai Handwriting,EDUCATION,4.3,3168.0,19M,1000000,Free,0.0,Everyone,Education,2017-10-26,"3,1",4.4 and up,13.0,4.0,31.0,19000.0,3.0,1.0,1.0,3,2366,79.0,2.0,3,1.0,11,2.057603686635945,3,3,3.0
EK Platinum,LIFESTYLE,3.8,52.0,10M,10000,Free,0.0,Everyone,Lifestyle,2017-12-26,1.0.6®,4.0 and up,9.0,2.0,3.0,10000.0,2.0,1.0,1.0,4,2305,77.0,3.0,1,0.0,6,2.1333333333333333,2,2,3.0
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777.0,Varies with device,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device,13.0,4.0,9.0,0.0,6.0,1.0,1.0,11,2084,69.0,5.0,100,2.0,13,2.4857142857142858,4,4,4.0
Moto File Manager,TOOLS,4.1,38679.0,5.9M,10000000,Free,0.0,Everyone,Tools,2018-02-01,v3.7.93,5.0 and up,15.0,5.0,13.0,5900.0,1.0,1.0,1.0,15,2268,76.0,3.0,3,1.0,10,2.66,3,3,3.0
AB Repeat Player,VIDEO_PLAYERS,4.3,1628.0,18M,100000,Free,0.0,Everyone,Video Players & Editors,2018-03-06,4.1.1,4.4 and up,11.0,3.0,26.0,18000.0,3.0,1.0,1.0,33,2235,74.0,1.0,4,2.0,11,3.3275862068965516,4,4,3.0
Number Therapy,MEDICAL,0.0,0.0,5.3M,50,Paid,14.99,Everyone,Medical,2017-10-03,1,4.0.3 and up,4.0,0.0,0.0,5300.0,1.0,0.0,1.0,0,2389,80.0,1.0,1,0.0,7,1.3285198555956679,2,2,2.0
Zombie Hunter King,GAME,4.3,10538.0,50M,1000000,Free,0.0,Mature 17+,Action,2018-08-01,1.0.8,2.3 and up,13.0,4.0,30.0,50000.0,5.0,1.0,2.0,44,2087,70.0,5.0,1,0.0,12,3.6554621848739495,2,2,3.0
DB Ultra Saiyan Battle,GAME,4.5,33.0,44M,1000,Free,0.0,Everyone 10+,Action,2018-07-25,1.3.7,2.3 and up,7.0,1.0,30.0,44000.0,4.0,1.0,5.0,44,2094,70.0,5.0,1,0.0,12,3.6554621848739495,2,2,3.0
3D DJ – Music Mixer with Virtual DJ,FAMILY,4.3,796.0,28M,100000,Free,0.0,Everyone,Entertainment,2018-07-03,6.6.8,5.0 and up,11.0,3.0,12.0,28000.0,4.0,1.0,1.0,17,2116,71.0,4.0,6,2.0,10,2.6990131578947367,4,4,3.0
Bee Mobile EG,FINANCE,4.2,883.0,6.5M,100000,Free,0.0,Everyone,Finance,2018-05-05,3.1.9,4.0 and up,11.0,3.0,8.0,6500.0,1.0,1.0,1.0,10,2175,72.0,4.0,3,1.0,6,2.4,3,3,3.0
M-acceleration 3D Car Racing,GAME,3.9,1202.0,34M,100000,Free,0.0,Everyone,Racing,2018-06-28,"1,6",4.1 and up,11.0,3.0,30.0,34000.0,4.0,1.0,1.0,46,2121,71.0,4.0,1,0.0,9,3.872093023255814,2,2,3.0
Create A Superhero HD,FAMILY,3.3,8642.0,19M,500000,Free,0.0,Teen,Casual,2017-12-30,4.0.4,2.3 and up,12.0,3.0,12.0,19000.0,3.0,1.0,3.0,38,2301,77.0,3.0,4,2.0,12,3.396039603960396,4,4,3.0
Angry Shark 2016,FAMILY,4.0,73185.0,46M,5000000,Free,0.0,Teen,Simulation,2017-11-01,"1,6",4.0 and up,14.0,4.0,12.0,46000.0,5.0,1.0,3.0,34,2360,79.0,2.0,1,0.0,6,3.350515463917526,2,2,3.0
Loteria BR,FAMILY,0.0,0.0,1.8M,50,Free,0.0,Everyone,Entertainment,2017-05-17,1.0.6,4.0 and up,4.0,0.0,12.0,1800.0,6.0,1.0,1.0,17,2528,84.0,0.0,1,0.0,6,2.6990131578947367,2,2,3.0
Arena of Valor: 5v5 Arena Game,GAME,4.4,438911.0,99M,10000000,Free,0.0,Teen,Action,2018-06-28,1.23.1.2,4.0.3 and up,15.0,5.0,30.0,99000.0,5.0,1.0,3.0,44,2121,71.0,4.0,1,0.0,7,3.6554621848739495,2,2,2.0
Experiment Z - Zombie,GAME,4.0,229329.0,88M,10000000,Free,0.0,Mature 17+,Action,2017-12-04,"2,14",4.1 and up,15.0,5.0,30.0,88000.0,5.0,1.0,2.0,44,2327,78.0,2.0,2,1.0,9,3.6554621848739495,3,3,3.0
Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21.0,89M,1000,Free,0.0,Everyone,Arcade,2018-03-30,0.46.91,4.4 and up,7.0,1.0,30.0,89000.0,5.0,1.0,1.0,42,2211,74.0,1.0,0,0.0,11,3.55188679245283,2,2,3.0
SpongeBob Diner Dash,FAMILY,4.0,576210.0,48M,50000000,Free,0.0,Everyone,Casual,2013-08-22,3.25.3,2.3.3 and up,16.0,5.0,12.0,48000.0,5.0,1.0,1.0,38,3892,130.0,0.0,3,1.0,5,3.396039603960396,3,3,3.0
EG Way Life,SOCIAL,0.0,0.0,1.1M,50,Free,0.0,Everyone,Social,2016-04-27,1,4.1 and up,4.0,0.0,23.0,1100.0,6.0,1.0,1.0,26,2913,97.0,1.0,1,0.0,9,2.9078947368421053,2,2,3.0
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916.0,6.1M,50000000,Free,0.0,Everyone,Communication,2018-07-31,5.22.18.0006,4.0 and up,16.0,5.0,21.0,6100.0,1.0,1.0,1.0,24,2088,70.0,5.0,5,2.0,6,2.889502762430939,4,4,3.0
DG - Digital Coupons - Free Coupon and Discount,SHOPPING,3.6,38.0,1.1M,10000,Free,0.0,Everyone,Shopping,2018-07-01,20,4.0 and up,9.0,2.0,27.0,1100.0,6.0,1.0,1.0,37,2118,71.0,4.0,20,1.0,6,3.3933333333333335,3,3,3.0
CB Heroes,SOCIAL,5.0,5.0,1.8M,5,Free,0.0,Everyone,Social,2018-08-04,1.2.4,5.0 and up,2.0,0.0,23.0,1800.0,6.0,1.0,1.0,26,2084,69.0,5.0,1,0.0,10,2.9078947368421053,2,2,3.0
